age_group,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,dale_chall,smog_index,avg_sentence_length,vocab_richness,avg_word_length,long_word_ratio,num_sentences,num_words,content_word_ratio,violence_score,profanity_score,adult_score,drug_score,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,dialogue_ratio,exclamation_ratio,question_ratio
+18,60.5126153846154,8.641000000000002,11.953846153846156,8.899726923076923,12.230961643895458,22.8,0.592964824120603,4.618090452261306,0.22110552763819097,10.0,199.0,0.49748743718592964,5.0251,0.0,10.0503,0.0,0.136,0.192,0.672,-0.9237,0.0,0.0,0.16666666666666666
+12,74.44000000000004,7.845000000000002,10.4,8.65495,9.642632912329528,31.142857142857142,0.5888324873096447,4.16243654822335,0.10152284263959391,7.0,197.0,0.4873096446700508,5.0761,0.0,0.0,0.0,0.082,0.159,0.759,-0.9674,0.0,0.0,0.0
+10,76.27122222222225,5.381333333333334,6.644444444444445,8.845661111111111,8.680891452615391,13.68421052631579,0.78,4.65,0.215,19.0,200.0,0.62,0.0,0.0,0.0,0.0,0.142,0.061,0.797,0.9646,0.4766277128547579,0.16666666666666666,0.16666666666666666
+10,48.63633333333337,10.616,13.06666666666667,11.410766666666667,12.745084868956482,14.875,0.7704081632653061,5.341836734693878,0.34183673469387754,16.0,196.0,0.6275510204081632,0.0,0.0,0.0,0.0,0.162,0.034,0.804,0.975,0.47437888198757766,0.0,0.0
+10,71.14778985507246,8.09717391304348,8.710144927536232,9.255514492753623,7.168621630094336,21.5,0.6754385964912281,4.535087719298246,0.18421052631578946,6.0,114.0,0.47368421052631576,8.7719,0.0,0.0,0.0,0.076,0.144,0.78,-0.9042,0.0,0.0,0.16666666666666666
+12,32.567007191201384,12.79524111675127,14.485448392554993,11.904929103214892,13.81666964889586,17.642857142857142,0.7653061224489796,5.433673469387755,0.37244897959183676,14.0,196.0,0.5969387755102041,5.102,0.0,0.0,0.0,0.073,0.051,0.876,0.5324,0.1497005988023952,0.21428571428571427,0.14285714285714285
+18,60.16863636363637,10.332424242424242,12.638383838383838,9.672043434343433,12.060818386365153,25.11111111111111,0.6666666666666666,4.520833333333333,0.19791666666666666,9.0,192.0,0.5260416666666666,20.8333,0.0,0.0,0.0,0.152,0.145,0.703,0.6883,0.0,0.0,0.0
+18,70.10291666666669,6.793749999999999,8.333333333333334,8.738770833333334,9.2995712137729,20.5,0.6097560975609756,4.146341463414634,0.12804878048780488,10.0,164.0,0.49390243902439024,0.0,0.0,0.0,0.0,0.215,0.087,0.699,0.9783,0.10267379679144385,0.0,0.0
+4,81.2778115942029,4.97008695652174,5.558840579710146,5.789600579710145,9.029198982220553,14.333333333333334,0.5489130434782609,4.081521739130435,0.125,15.0,184.0,0.46195652173913043,0.0,0.0,0.0,0.0,0.185,0.104,0.711,0.945,0.18031088082901556,0.0,0.0
+10,63.788857142857154,7.492253968253973,10.754285714285714,9.023523492063493,10.793553405168563,24.0,0.8135593220338984,4.288135593220339,0.1864406779661017,3.0,59.0,0.4915254237288136,0.0,0.0,0.0,0.0,0.119,0.069,0.812,0.5194,0.0,0.0,0.2
+18,43.042589928057566,12.188818088386437,14.561562178828366,10.642061767728674,14.138980108339055,39.25,0.7372262773722628,4.9416058394160585,0.24087591240875914,4.0,137.0,0.5766423357664233,14.5985,0.0,0.0,0.0,0.131,0.092,0.777,0.6486,0.0,0.0,0.0
